split,agent_id,scaffold,model,n,accuracy,label,n_pass,cost_mean,cost_median,cost_mean_passed,cost_total,cost_n,in_tok_mean,cached_in_mean,out_tok_mean,tot_tok_mean,dur_mean_s,dur_median_s,dur_n,turns_mean,tools_mean,tools_median
main39,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000,claude_code,anthropic/claude-opus-4-5,39,0.8974358974358975,CC Opus 4 5,35,1.4523431730769232,0.9170105000000002,1.3217726142857142,56.64138375,39,255.92307692307693,1618241.923076923,8423.307692307691,1680039.3076923077,631.2436153846154,288.28,39,39.05128205128205,40.666666666666664,27.0
main39,corebench_hard_claude_code_agent_anthropic_claude_opus_4_6_baseline,claude_code,anthropic/claude-opus-4-6,39,0.8974358974358975,CC Opus 4 6,35,1.2043712397435897,0.6682595000000001,0.9115961671428571,46.97047835,39,30.487179487179485,1213026.4102564103,7156.974358974359,1270509.4871794872,704.2986923076924,258.691,39,33.87179487179487,36.35897435897436,26.0
main39,corebench_hard_codex_agent_gpt_5_1_reasoning_effort_medium,codex,gpt-5.1,39,0.8717948717948718,Codex GPT-5 1 medium,34,0.8357615192307691,0.377565,0.7397503455882353,32.59469925,39,242129.2564102564,3543525.7435897435,9015.923076923076,3794670.923076923,,,0,1.0,29.71794871794872,26.0
main39,corebench_hard_codex_agent_gpt_5_2_reasoning_effort_medium,codex,gpt-5.2,39,0.9487179487179487,Codex GPT-5 2 medium,37,0.7137602884615385,0.31913875,0.733156168918919,27.83665125,39,192359.8205128205,3104951.794871795,8519.153846153846,3305830.769230769,,,0,1.0,34.794871794871796,30.0
main39,corebench_hard_codex_agent_gpt_5_3_codex_reasoning_effort_medium,codex,gpt-5.3-codex,39,0.9743589743589743,Codex GPT-5 3 Codex medium,38,0.26661353846153846,0.1528585,0.2712650131578947,10.397928,39,85139.69230769231,922052.9230769231,4493.2307692307695,1011685.8461538461,,,0,1.0,22.846153846153847,20.0
main39,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_high,codex,gpt-5.4,39,0.9743589743589743,Codex GPT-5 4 high,38,0.6692772628205128,0.4238585,0.6613128618421052,26.10181325,39,174551.61538461538,2740552.205128205,10851.871794871795,2925955.6923076925,,,0,1.0,33.256410256410255,27.0
main39,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_low,codex,gpt-5.4,39,0.9230769230769231,Codex GPT-5 4 low,36,0.3604156346153846,0.3017285,0.3578372361111111,14.05620975,39,103897.71794871795,1283777.641025641,7007.128205128205,1394682.4871794872,,,0,1.0,24.974358974358974,22.0
main39,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_medium,codex,gpt-5.4,39,0.9487179487179487,Codex GPT-5 4 medium,37,0.5634445576923077,0.34122925,0.5386156148648649,21.97433775,39,162639.46153846153,2190470.564102564,8633.641025641025,2361743.6666666665,,,0,1.0,29.102564102564102,26.0
main39,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_medium_max_threads_1,codex,gpt-5.4,39,0.9487179487179487,Codex GPT-5 4 medium t1,37,0.530073358974359,0.41156975,0.5302563648648648,20.672861,39,145090.15384615384,2108261.7435897435,8517.794871794871,2261869.6923076925,,,0,1.0,27.256410256410255,23.0
main39,corebench_hard_codex_agent_gpt_5_4_reasoning_effort_medium_max_threads_3,codex,gpt-5.4,39,0.9743589743589743,Codex GPT-5 4 medium t3,38,0.5145084935897436,0.397258,0.5015192039473684,20.065831250000002,39,135632.02564102566,2039007.1794871795,9009.25641025641,2183648.4615384615,,,0,1.0,29.333333333333332,24.0
