agent_run_id,metadata.capsule_id,metadata.scaffold,metadata.scores.accuracy
6f8b0902-c500-4de6-b5d6-9186855d16d8,capsule-9832712,"Codex Agent (gpt-5.4, re=high)",1
dbb40e41-ce34-4f3f-8737-abceb714b5a6,capsule-9477017,"Codex Agent (gpt-5.4, re=high)",1
66e69848-bfcc-4548-aba6-ff9cf1a5cdd5,capsule-9294029,"Codex Agent (gpt-5.4, re=high)",1
65ddfe61-d14b-4abb-9e1f-e52ec5001a41,capsule-9240688,"Codex Agent (gpt-5.4, re=high)",1
b7fec945-a155-45d9-9f62-4db977d79430,capsule-9054015,"Codex Agent (gpt-5.4, re=high)",1
c051bf6c-5c99-4b48-b98b-f79d3187a5a0,capsule-8807709,"Codex Agent (gpt-5.4, re=high)",1
28e44d0d-bf16-4d8c-a3a8-7f113186e8e7,capsule-8412128,"Codex Agent (gpt-5.4, re=high)",1
0dbd33f0-6b0d-4119-b1b6-7b24e2fd4bea,capsule-7800694,"Codex Agent (gpt-5.4, re=high)",1
e1fea3d0-a0c0-46dd-a76d-99e66d2c25e4,capsule-7716865,"Codex Agent (gpt-5.4, re=high)",1
9b8cc3d9-2540-41e2-b891-e613df881538,capsule-7655932,"Codex Agent (gpt-5.4, re=high)",1
b49e1503-02be-40aa-9a97-c08e6dcefd69,capsule-7186268,"Codex Agent (gpt-5.4, re=high)",1
72587187-b8e8-4874-92c2-ba5af4c5410a,capsule-6295990,"Codex Agent (gpt-5.4, re=high)",1
c106442b-2fc7-4cf1-ab9d-5eae7a762c2b,capsule-6049678,"Codex Agent (gpt-5.4, re=high)",1
ece1d3cc-47c0-42ed-85ea-4da8c0a97f74,capsule-5507257,"Codex Agent (gpt-5.4, re=high)",1
2f9a5c63-8c1e-43e6-b43f-44c6ec21afd3,capsule-5136217,"Codex Agent (gpt-5.4, re=high)",1
5df4f458-0202-4d9c-ac72-f7d917c630d4,capsule-4933686,"Codex Agent (gpt-5.4, re=high)",1
b9a53888-9d36-4345-98df-9891b7246338,capsule-4671827,"Codex Agent (gpt-5.4, re=high)",1
261d4c0e-d735-45c5-8393-e8d52a10840c,capsule-4299879,"Codex Agent (gpt-5.4, re=high)",1
b1837cee-c61a-422e-b821-dd0b077dd075,capsule-4252248,"Codex Agent (gpt-5.4, re=high)",0
d6d55cd1-da4b-4c21-90e9-cffaa13a5cf5,capsule-3821950,"Codex Agent (gpt-5.4, re=high)",1
137efa50-b530-4f53-8784-32e42721b6fa,capsule-3762736,"Codex Agent (gpt-5.4, re=high)",1
a1fcfa6e-339d-435d-bbe0-3006eff90168,capsule-3639589,"Codex Agent (gpt-5.4, re=high)",1
65927608-0fc8-43ab-9166-29755c7a5f5b,capsule-3593259,"Codex Agent (gpt-5.4, re=high)",1
4f36b816-8198-4a5f-aeac-f100ff19feb4,capsule-3449234,"Codex Agent (gpt-5.4, re=high)",1
48a4df72-5519-48b7-ba4b-25f4b9b60af1,capsule-3418007,"Codex Agent (gpt-5.4, re=high)",1
bfe79b7b-4bec-4da7-ac46-f9e1ca71d640,capsule-3301293,"Codex Agent (gpt-5.4, re=high)",1
7ebb566d-80bc-4a46-88f8-add0d6be39b6,capsule-2816027,"Codex Agent (gpt-5.4, re=high)",1
ccf73b3d-2b22-449c-90f5-3d6fe005ed3a,capsule-2804717,"Codex Agent (gpt-5.4, re=high)",1
0e482983-f044-4ccd-bde7-7752b7876cd8,capsule-2708693,"Codex Agent (gpt-5.4, re=high)",1
10a947fe-b124-4410-9e67-29fc9e3b3f92,capsule-2345790,"Codex Agent (gpt-5.4, re=high)",1
9be5b1cc-0359-4dfb-8f5d-3ade18d92805,capsule-2242462,"Codex Agent (gpt-5.4, re=high)",1
31c2ac78-dd04-465c-bfec-e5e3cb573ac3,capsule-1724988,"Codex Agent (gpt-5.4, re=high)",1
5b62166a-5efa-4c8e-94d6-d3b14d240f13,capsule-1624349,"Codex Agent (gpt-5.4, re=high)",1
a37ab5da-998f-4099-a804-dab47153d913,capsule-1394704,"Codex Agent (gpt-5.4, re=high)",1
ba379959-b13a-41e9-adc1-521772bd3439,capsule-1175539,"Codex Agent (gpt-5.4, re=high)",1
92f92744-d832-486d-bd2e-d0a3f3a0fba7,capsule-0851068,"Codex Agent (gpt-5.4, re=high)",1
89e19b6c-9ce6-4505-9aaa-445327a0f6e1,capsule-0504157,"Codex Agent (gpt-5.4, re=high)",1
7748231c-c08e-4241-aed1-21c06713551c,capsule-0201673,"Codex Agent (gpt-5.4, re=high)",1
40a14c69-e7c4-46b0-bdd4-03de19bf2696,capsule-0152700,"Codex Agent (gpt-5.4, re=high)",1
8b647df9-45c0-486c-b3c6-78e7c2f448ce,capsule-9832712,"Open Code (openai/gpt-5.4, re=high)",1
499c174b-2338-49ec-84b6-906f6474d823,capsule-9477017,"Open Code (openai/gpt-5.4, re=high)",1
34d3fb9e-02f1-451f-b516-d2b2de9cd20a,capsule-9294029,"Open Code (openai/gpt-5.4, re=high)",0
f58852c4-dc49-415d-9f3a-784763772dd5,capsule-9054015,"Open Code (openai/gpt-5.4, re=high)",1
f487cfe4-158d-4b91-b46a-493e9dc33590,capsule-9240688,"Open Code (openai/gpt-5.4, re=high)",1
5a5a0723-116a-4d4c-9c88-6b266b46e0f1,capsule-8807709,"Open Code (openai/gpt-5.4, re=high)",1
788cb4b3-d2e9-43fa-8c7e-fb0fc0d36a8e,capsule-8412128,"Open Code (openai/gpt-5.4, re=high)",1
f2cf5b38-817b-4565-b5f3-1d9d641dfc1e,capsule-7800694,"Open Code (openai/gpt-5.4, re=high)",1
5c1ba865-fe58-42bb-b110-47d24fda0ce3,capsule-7716865,"Open Code (openai/gpt-5.4, re=high)",1
667cbd73-4179-41aa-bb7f-b26ad4649425,capsule-7655932,"Open Code (openai/gpt-5.4, re=high)",1
df787aaa-42b0-4e3f-bdd4-cf30d3c72728,capsule-6295990,"Open Code (openai/gpt-5.4, re=high)",1
3bb9041b-377a-484e-90a5-9ee2dbefbdb5,capsule-7186268,"Open Code (openai/gpt-5.4, re=high)",1
1d712070-e34d-4588-935f-e13338b1b6e5,capsule-6049678,"Open Code (openai/gpt-5.4, re=high)",1
04b81aee-7acb-421c-b6f6-3b64b4c2abdf,capsule-5507257,"Open Code (openai/gpt-5.4, re=high)",1
40f80d02-9db9-4242-be34-412848773728,capsule-5136217,"Open Code (openai/gpt-5.4, re=high)",0
5518c261-5fe9-4eb1-95c7-35ab9c635599,capsule-4933686,"Open Code (openai/gpt-5.4, re=high)",1
8d2d03b1-c180-4012-9943-19587ab30f78,capsule-4671827,"Open Code (openai/gpt-5.4, re=high)",1
68c3486f-5671-4326-ad53-1c2d24539c49,capsule-4299879,"Open Code (openai/gpt-5.4, re=high)",1
e16ad325-9c14-4cf0-af88-cfcb9a24adc7,capsule-4252248,"Open Code (openai/gpt-5.4, re=high)",1
70f04305-2904-4404-8ecb-8b4190547aee,capsule-3821950,"Open Code (openai/gpt-5.4, re=high)",1
9ed84551-ce99-4f21-8d5b-cdabd1106cdb,capsule-3639589,"Open Code (openai/gpt-5.4, re=high)",1
5bbdd735-e391-4867-b85e-9e0ec086a0ec,capsule-3762736,"Open Code (openai/gpt-5.4, re=high)",0
6c39fc85-f1fe-4f30-af76-c29f6febff57,capsule-3593259,"Open Code (openai/gpt-5.4, re=high)",0
208af098-7a82-495d-a556-17fcf57d4e2f,capsule-3449234,"Open Code (openai/gpt-5.4, re=high)",1
6fce6f1f-8830-494e-832b-9c479a57f257,capsule-3418007,"Open Code (openai/gpt-5.4, re=high)",1
e0513fe2-cad5-4a2d-83bc-59b8e8e9a62e,capsule-3301293,"Open Code (openai/gpt-5.4, re=high)",1
6f056147-0a0d-4cee-a5e7-ea2b1d029c25,capsule-2816027,"Open Code (openai/gpt-5.4, re=high)",0
85251817-dae8-45c2-8937-8a2509f41681,capsule-2804717,"Open Code (openai/gpt-5.4, re=high)",1
3187e56c-0d84-44d7-bda3-ee905f4f1fa5,capsule-2708693,"Open Code (openai/gpt-5.4, re=high)",1
f1e34e5f-dc67-440c-8358-8f3c17a63bbb,capsule-2345790,"Open Code (openai/gpt-5.4, re=high)",1
9930a853-da92-4365-81d6-91dbb683a29c,capsule-2242462,"Open Code (openai/gpt-5.4, re=high)",1
f7b7c49f-06d9-42ce-8afe-6d8558c5abe1,capsule-1724988,"Open Code (openai/gpt-5.4, re=high)",1
5e42e914-7303-47f5-b372-c2054329b363,capsule-1624349,"Open Code (openai/gpt-5.4, re=high)",1
84755140-4317-45e3-ac8c-12b477d2c27e,capsule-1175539,"Open Code (openai/gpt-5.4, re=high)",1
067cfb24-5228-476e-af77-5f4a00d4d635,capsule-1394704,"Open Code (openai/gpt-5.4, re=high)",1
abbef3fd-3193-44fd-b369-c119240131a7,capsule-0851068,"Open Code (openai/gpt-5.4, re=high)",1
7534dca5-9abd-4e74-b395-08b7c8d82597,capsule-0504157,"Open Code (openai/gpt-5.4, re=high)",1
ff9917a2-7ed3-460d-ad6d-d14cb6c387d0,capsule-0201673,"Open Code (openai/gpt-5.4, re=high)",1
c6c8127f-843b-457e-972e-8081a50b3581,capsule-0152700,"Open Code (openai/gpt-5.4, re=high)",0
66b10a27-dd55-4913-9cc5-dd5df8c88928,capsule-9832712,Open Code (anthropic/claude-opus-4-6),1
7f1d6773-9e02-4135-8b33-6a9e663630c0,capsule-9477017,Open Code (anthropic/claude-opus-4-6),0
69b68e48-918a-4d66-b8b2-673d859c60cc,capsule-9294029,Open Code (anthropic/claude-opus-4-6),1
13af5f05-7d3e-4655-8451-b4b296edacf0,capsule-9240688,Open Code (anthropic/claude-opus-4-6),1
f94b2869-4c99-40c5-a620-c9c07f9b479b,capsule-9054015,Open Code (anthropic/claude-opus-4-6),1
06c1d6ac-ca35-4d69-8c28-d8feb5ce8b24,capsule-8807709,Open Code (anthropic/claude-opus-4-6),0
b62192b3-b22a-409b-a71a-d82662b999ab,capsule-8412128,Open Code (anthropic/claude-opus-4-6),1
a7c71e85-7813-4112-9408-e89f6072c383,capsule-7800694,Open Code (anthropic/claude-opus-4-6),1
2f327a61-cb22-4b5a-8896-799a76f580fc,capsule-7716865,Open Code (anthropic/claude-opus-4-6),1
dcb97ab9-a1af-42ec-8c22-a4c65054392c,capsule-7655932,Open Code (anthropic/claude-opus-4-6),1
5852704e-c23b-4d59-909e-7b8949a54eb7,capsule-7186268,Open Code (anthropic/claude-opus-4-6),1
b6c15842-dddb-4d9c-95f9-8c65946a8d4c,capsule-6295990,Open Code (anthropic/claude-opus-4-6),1
0744be2d-529f-4841-a45a-9aa54c09b54d,capsule-6049678,Open Code (anthropic/claude-opus-4-6),1
0e79bd85-b596-412d-bd1e-0b4d2bb0c96d,capsule-5507257,Open Code (anthropic/claude-opus-4-6),1
f9597d2d-e40b-4bdd-b493-5e3267879bc4,capsule-4933686,Open Code (anthropic/claude-opus-4-6),1
1b79aefc-f802-468a-a007-3e8d3160b16e,capsule-5136217,Open Code (anthropic/claude-opus-4-6),0
a3fc3e99-50bd-4672-a48c-624bd5d5e13f,capsule-4671827,Open Code (anthropic/claude-opus-4-6),1
0eb41633-eef2-4881-9964-1592e702bd2e,capsule-4299879,Open Code (anthropic/claude-opus-4-6),1
5bccd973-12ce-418d-899e-9bad76304e41,capsule-4252248,Open Code (anthropic/claude-opus-4-6),1
4a4ee06a-c077-48e4-9213-ee92a8488cc4,capsule-3821950,Open Code (anthropic/claude-opus-4-6),0
eb82f11e-d1f2-48a3-aff9-362897f9da20,capsule-3639589,Open Code (anthropic/claude-opus-4-6),1
0b1afca3-2d58-4ddc-9ff8-d93e7cf2e684,capsule-3762736,Open Code (anthropic/claude-opus-4-6),1
bb486cd9-3446-4440-bce7-88eb249fb863,capsule-3593259,Open Code (anthropic/claude-opus-4-6),0
5785af2b-c8c3-4456-a08b-5dcd7055889a,capsule-3449234,Open Code (anthropic/claude-opus-4-6),1
4fc12bcb-6d57-4074-9071-1e5106d48d77,capsule-3418007,Open Code (anthropic/claude-opus-4-6),1
d26d8132-00a0-4a3a-9537-e024c1ef1f92,capsule-3301293,Open Code (anthropic/claude-opus-4-6),1
79a24a75-75e9-48ab-9d9c-3139b4c6e5e3,capsule-2816027,Open Code (anthropic/claude-opus-4-6),1
fcc030f4-5848-4973-a902-507ba81f6e91,capsule-2804717,Open Code (anthropic/claude-opus-4-6),0
070d7a28-ee76-4217-86ad-591c1187ee81,capsule-2708693,Open Code (anthropic/claude-opus-4-6),1
7dbab1ef-ba14-4362-935f-e3ac8a19d27e,capsule-2345790,Open Code (anthropic/claude-opus-4-6),1
cbe3b3af-e2c5-403f-b9ea-80f762d9e42f,capsule-2242462,Open Code (anthropic/claude-opus-4-6),1
e97614a3-af18-4e88-9e03-19da19dc77a8,capsule-1724988,Open Code (anthropic/claude-opus-4-6),1
14477957-2074-4642-a8d5-d0152a341ee9,capsule-1624349,Open Code (anthropic/claude-opus-4-6),1
bcb7f0b5-d5bc-441b-8002-675abd8c41ca,capsule-1175539,Open Code (anthropic/claude-opus-4-6),1
35af748c-fe25-47a1-b238-662a59b59248,capsule-1394704,Open Code (anthropic/claude-opus-4-6),1
d1e1e609-6013-4c5b-bec6-212d585bf6cb,capsule-0851068,Open Code (anthropic/claude-opus-4-6),1
3d872127-0466-402a-8f63-99699c64eab3,capsule-0504157,Open Code (anthropic/claude-opus-4-6),1
d34a25d3-4c95-4111-8b7e-a8659b2f9bcf,capsule-0201673,Open Code (anthropic/claude-opus-4-6),1
0762930f-c10d-449f-8d9f-644fdcc5c23f,capsule-0152700,Open Code (anthropic/claude-opus-4-6),0
29fa021f-a89a-4823-8d70-131ec0ef3819,capsule-9832712,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
fdaea91b-0cbf-456f-b55d-59c6b5e1454d,capsule-9294029,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
e9c87b59-4290-45a4-a484-aa4c3260364d,capsule-9477017,"Open Code (anthropic/claude-opus-4-5, think=10000)",0
f2e1805f-5748-4846-9703-652f0eac8164,capsule-9240688,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
d70c63cb-a0ec-4ef9-80e3-bbdab5148cc1,capsule-9054015,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
fb9902fb-2936-4946-a52b-7d9bf68967b7,capsule-8807709,"Open Code (anthropic/claude-opus-4-5, think=10000)",0
9dab8f52-79cd-4608-8a2d-fe09677b5be1,capsule-8412128,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
b8e904c9-7443-4e42-a86b-a288e918aed6,capsule-7800694,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
4d7b1faf-deb2-45ea-b29c-891271bce7fa,capsule-7655932,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
2dc0e520-9d86-40f0-a04d-d09c61d55aad,capsule-7716865,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
b9ae20bf-f53e-4af2-895c-c31049d42ced,capsule-7186268,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
ff0bf0fa-0201-4d35-8d58-6bb6635846d1,capsule-6295990,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
88cc4634-48db-4d3c-bcba-25757601643b,capsule-6049678,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
b6a6ae68-fcab-4bbc-ad72-db0f8371a2f9,capsule-5507257,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
e95ce5ca-b3d8-4674-ad03-f826d19f1e6e,capsule-5136217,"Open Code (anthropic/claude-opus-4-5, think=10000)",0
0623097d-73aa-436e-898e-fe5178b595b6,capsule-4933686,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
182e083c-0fcb-42fd-bb70-545651e6dca4,capsule-4671827,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
af0f7756-3d3d-457e-b2db-79ca8035a7f5,capsule-4299879,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
0348e023-99f5-4388-ad1c-0921de62e363,capsule-4252248,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
2fa665c5-ac54-4423-896c-3cdb459c6a9e,capsule-3821950,"Open Code (anthropic/claude-opus-4-5, think=10000)",0
f5deaed0-94a9-4c84-ab16-2a969e570ed2,capsule-3762736,"Open Code (anthropic/claude-opus-4-5, think=10000)",0
b12949b4-2eb5-43e3-b879-44c9fbd2a8f7,capsule-3639589,"Open Code (anthropic/claude-opus-4-5, think=10000)",1
5b3f2bc8-130b-4810-b623-c5bdc78bee1e,capsule-3593259,"Open Code (anthropic/claude-opus-4-5, think=10000)",0
