agent_run_id,metadata.scaffold,metadata.scores.accuracy,metadata.capsule_id
b59b3181-063e-421f-802f-32e6a116fa62,"Codex Agent (gpt-5.4, re=medium, mt=9)",0,capsule-7350043
71f609f3-281f-4681-ac09-538a9c0a69f9,"Codex Agent (gpt-5.4, re=medium, mt=9)",0,capsule-6562149
16560168-2cd4-46ab-b8cf-1dc12388aa92,"Codex Agent (gpt-5.4, re=medium, mt=9)",0,capsule-5172670
c48b9d3d-e9df-42c8-b9bf-c7455c7a6de8,"Codex Agent (gpt-5.4, re=medium, mt=6)",0,capsule-7350043
6e94f5b6-aa0d-4e12-940c-9f1103b7e81a,"Codex Agent (gpt-5.4, re=medium, mt=6)",0,capsule-5172670
f3ea7f44-2a80-4520-9783-8c0085455f60,"Codex Agent (gpt-5.4, re=medium, mt=6)",0,capsule-0571975
6173d68a-efbf-420a-bf80-d19d17829d83,"Codex Agent (gpt-5, re=medium)",0,capsule-7350043
e8044ad0-075b-48f5-9924-fcdab6d3d473,"Codex Agent (gpt-5.4, re=medium, mt=3)",0,capsule-7350043
1a269a57-c90c-4c3a-95ee-2839e1a8f072,"Codex Agent (gpt-5.4, re=medium, mt=3)",0,capsule-5172670
1d938d67-1b4a-470d-8f8f-b00083112fd4,"Codex Agent (gpt-5.4, re=medium, mt=1)",0,capsule-7350043
c8402e43-7164-43bb-aab0-6c440e812c50,"Codex Agent (gpt-5.4, re=medium)",0,capsule-5172670
6b9dde1a-13a3-4dc6-899f-cf572d1523ef,"Codex Agent (gpt-5.4, re=medium)",0,capsule-0571975
0429e196-0343-4ac4-9461-935a152072c0,"Codex Agent (gpt-5.4, re=low)",0,capsule-7350043
2335364a-3de5-4a03-bc47-4b2cdc75112f,"Codex Agent (gpt-5.4, re=low)",0,capsule-6562149
caa36910-0fcc-44f5-9199-4c3c4be7ea30,"Codex Agent (gpt-5.4, re=low)",0,capsule-5172670
347775b3-c553-4f4b-b29f-3165d7f878fc,"Codex Agent (gpt-5, re=medium)",0,capsule-2675546
dd5f406f-8f97-479e-aefd-b064cee67dc1,"Codex Agent (gpt-5.4, re=high)",0,capsule-7350043
d50bef8c-7d0e-4e25-ae31-5cf5f4a7512d,"Codex Agent (gpt-5.4, re=high)",0,capsule-5172670
55d838d7-fe0f-48bf-9e81-2115a219a965,"Codex Agent (gpt-5.3-codex, re=medium)",0,capsule-6562149
aed2c440-9916-4bf4-8a32-cf33911696e3,"Codex Agent (gpt-5.3-codex, re=medium)",0,capsule-0571975
055f4a80-353a-473a-bb85-54b6cc5bad9c,"Codex Agent (gpt-5.1, re=medium)",0,capsule-7350043
61fab013-284f-45ee-b1cd-2a9bd5be95bc,"Codex Agent (gpt-5, re=medium)",1,capsule-9419423
26014ca7-c731-4876-9cd3-bef44f7b0c46,"Codex Agent (gpt-5.4, re=xhigh)",1,capsule-8610546
6e4e59f0-cbd8-464d-a270-d6aa63bcb665,"Codex Agent (gpt-5.4, re=xhigh)",1,capsule-8467067
a310f72f-0d71-4602-b8fb-a47dc980c6f6,"Codex Agent (gpt-5.4, re=xhigh)",1,capsule-8353473
9043e982-b3ae-43d1-ba05-c80e6bcfb5f5,"Codex Agent (gpt-5.4, re=xhigh)",1,capsule-8185407
78601b82-e459-4ec0-a77f-3103fc837ea2,"Codex Agent (gpt-5.4, re=xhigh)",1,capsule-7350043
7d16bf48-7373-411b-b4fb-0e4791ced12b,"Codex Agent (gpt-5.4, re=xhigh)",1,capsule-6724161
b5668f1d-e637-4901-bac7-9ce0a30cad7b,"Codex Agent (gpt-5.4, re=xhigh)",1,capsule-6562149
9118a379-041c-4e96-a5b5-b12883bfb7bf,"Codex Agent (gpt-5.4, re=xhigh)",1,capsule-5360076
fc0a45c1-e541-4e25-9561-7733c9b99402,"Codex Agent (gpt-5.4, re=xhigh)",1,capsule-5172670
30bb7c20-8765-4af3-9928-f71f7a775364,"Codex Agent (gpt-5.4, re=xhigh)",1,capsule-5007288
