Timestamp,Paper Title,Link to the paper's code (GitHub or other),Domain,evaluator,Agent version,Execution Environment (Select “Other” only if you performed a non-standardized step.),Date (PST),Start Time (PST),End Time (PST),Condition,Hardware (Select “Other” only if you used an environment other than A40 on RunPod.),OS (Select “Others” only if you used an environment other than A40 on RunPod.),Phase 1 Blocker 1: What was the Blocker,Phase 1 Blocker 1: Who got stuck,Phase 1 Blocker 1: What was the resolution,Phase 1 Blocker 1: Intervention needed?,"Phase 2 *Select one from ""Who"" and one from ""Outcome"" [2.1 Identify entry point / main script]","Phase 2 *Select one from ""Who"" and one from ""Outcome"" [2.2 Understand required run parameters]","Phase 2 *Select one from ""Who"" and one from ""Outcome"" [2.3 Run Code]","Phase 2 *Select one from ""Who"" and one from ""Outcome"" [2.4 Monitor / debug runtime errors]","Phase 2 *Select one from ""Who"" and one from ""Outcome"" [2.5 Locate output files]","Phase 3 *Select one from ""Who"" and one from ""Outcome"" [3.1 Parse / extract our results]","Phase 3 *Select one from ""Who"" and one from ""Outcome"" [3.2 Compare to paper values]","Phase 3 *Select one from ""Who"" and one from ""Outcome"" [3.3 Investigate discrepancies(if any)]",Results: Question,Results: Paper Value,Results: Our Value,Results: Match,Reproduction failure mode classification (in case reproduction of the given target failed),"Total duration (in minutes) Measure by: Start from difference between first and last timestamp (as provided by script), manually subtract lunch breaks etc. (afk time), add any additional time for analysis etc. after the last timestamp","Collaboration pattern observed *If multiple choices apply, use the “Other” freeform text field.",Where Agent added value,Where Agent struggled and needed help,"Other Notes (error messages, surprises, observations - anything that doesn't fit above)",Phase 1 Blocker 2: What was the Blocker,Phase 1 Blocker 2: Who got stuck,Phase 1 Blocker 3: Who got stuck,Phase 1 Blocker 3: What was the Blocker,Phase 1 Blocker 2: What was the resolution,Phase 1 Blocker 3: What was the resolution,Phase 1 Blocker 2: Intervention needed?,Phase 1 Blocker 3: Intervention needed?,Phase 2 Blocker 1: What was the Blocker,Phase 2 Blocker 1: Who got stuck,Phase 2 Blocker 1: What was the resolution,Phase 2 Blocker 1: Intervention needed?,Phase 2 Blocker 2: What was the Blocker,Phase 2 Blocker 2: Who got stuck,Phase 2 Blocker 2: What was the resolution,Phase 2 Blocker 2: Intervention needed?,Phase 2 Blocker 3: What was the Blocker,Phase 2 Blocker 3: Who got stuck,Phase 2 Blocker 3: What was the resolution,Phase 2 Blocker 3: Intervention needed?,Phase 3 Blocker 1: What was the Blocker,Phase 3 Blocker 1: Who got stuck,Phase 3 Blocker 1: What was the resolution,Phase 3 Blocker 1:Intervention needed?,Phase 3 Blocker 2: What was the Blocker,Phase 3 Blocker 2: What was the resolution,Phase 3 Blocker 2: Intervention needed?,Phase 3 Blocker 3: What was the Blocker,Phase 3 Blocker 3: Who got stuck,Phase 3 Blocker 3: What was the resolution,Phase 3 Blocker 3: Intervention needed?,Link to Docent log of this session,Step 1.1: Start the instance and Docker image (Human) - Outcome,Step 1.1: Start the instance and Docker image (Human) - Notes,Step 1.2: Start Agent with logging and prompt replication target task (using the generic default prompt) (Human) - Outcome,Step 1.3: Obtain the paper’s code (e.g. clone repo) - Who did it,Step 1.4: Read README - Outcome,Step 1.5: Create environment (e.g. using conda/venv) - Outcome,Step 1.6: Install dependencies - Outcome,Step 1.7: Download/prepare data - Outcome,"Step 1.8: Verify setup (import test, etc.) - Outcome",Step 1.3: Obtain the paper’s code (e.g. clone repo) - Outcome,"Step 1.8: Verify setup (import test, etc.) - Who did it",Step 1.7: Download/prepare data - Who did it,Step 1.6: Install dependencies - Who did it,Step 1.4: Read README - Who did it,Step 1.5: Create environment (e.g. using conda/venv) -- Who did it,Step 1.3: Obtain the paper’s code (e.g. clone repo) - Notes,Step 1.7: Download/prepare data - Notes,"Step 1.8: Verify setup (import test, etc.) - Notes",Step 1.6: Install dependencies - Notes,Step 1.5: Create environment (e.g. using conda/venv) -- Notes,Step 1.4: Read README - Notes,Step 2.1: Identify entry point / main script - Outcome,Step 2.1: Identify entry point / main script - Notes,Step 2.2: Understand required run parameters - Outcome,Step 2.3: Run code - Who did it,Step 2.3: Run code - Outcome,Step 2.3: Run code - Notes,Step 2.4: Monitor / debug runtime errors - Who did it,Step 2.4: Monitor / debug runtime errors - Outcome,Step 2.4: Monitor / debug runtime errors - Notes,Step 2.5: Locate output files - Who did it,Step 2.5: Locate output files - Outcome,Step 2.5: Locate output files - Notes,Step 2.1: Identify entry point / main script - Who did it,Step 2.2: Understand required run parameters - Who did it,Step 3.1: Parse/extract our results - Who did it,Step 3.1: Parse/extract our results - Outcome,Step 3.1: Parse/extract our results - Notes,Step 3.2: Compare to paper values - Who did it,Step 3.2: Compare to paper values - Outcome,Step 3.2: Compare to paper values - Notes,Step 3.3 - Investigate discrepancies (if any) - Who did it,Step 3.3 - Investigate discrepancies (if any) - Outcome,Step 3.3 - Investigate discrepancies (if any) - Notes
4/25/2026 2:45:16,decentralization can increase cooperation among public officials,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZLHYSZ,I4R,B,gpt-5.4-codex with extra high thinking,Docker instance with pre-installed libraries,4/24/2026,10:18:00 AM,10:26:00 AM,AI-assisted,GPU: A40 48GB VRAM CPU: Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GH,Ubuntu 22.04,,,,,"Who: Agent, Outcome: Success","Who: Agent, Outcome: Success","Who: Agent, Outcome: Success","Who: Agent, Outcome: Success","Who: Agent, Outcome: Success",Who: Agent,Who: Agent,Who: Agent,"Coefficient for Decentralized in the Weighted Poisson regression Full Model for ""Strong Ties (Prop. Friends)"" (Table 3): 1.07",1.07,1.07,✓ Match,,8,1. Agent did all the work on its own,"2. Environment setup, 5. Running code, 6. Debugging errors from running code as is",None (this shouldn't be a required question),Highly efficient agent run that successfully reproduced the result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://docent.transluce.org/dashboard/ae174ea5-4691-4221-8b06-5c55519d2494/agent_run/019dc07f-b0f5-7860-a47f-c07b4beceba1,Succcess,,Succcess,Agent,Succcess,Succcess,Succcess,Succcess,Succcess,Succcess,Agent,Agent,Agent,Agent,Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2026 17:07:00,fantastically ordered prompts and where to find them overcoming fewshot prompt order sensitivity,https://github.com/yaolu/ordered-prompt,AI Conferences,B,,Docker instance with pre-installed libraries,4/26/2026,11:15:00 PM,1:02:00 AM,Manual,GPU: A40 48GB VRAM CPU: Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GH,Ubuntu 22.04,,,,,,,,,,,,,Performance of the GPT-2 0.1B GlobalE on the Template 1 (from Table 3 in the paper): 63.8 [paper reported confidence: 5.8],63.8,62.9,≈ Within tolerance interval,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://docent.transluce.org/dashboard/ae174ea5-4691-4221-8b06-5c55519d2494/agent_run/fdf1b413-2fe2-4172-9c03-9da6c2b737ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2026 17:40:45,obfuscated gradients give a false sense of security circumventing defenses to adversarial examples,https://github.com/anishathalye/obfuscated-gradients,AI Conferences,B,gpt-5.4-codex with extra high thinking,Docker instance with pre-installed libraries,4/24/2026,11:25:00 AM,12:01:00 PM,AI-assisted,GPU: A40 48GB VRAM CPU: Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GH,Ubuntu 22.04,Agent installed tensorflow-cpu.,Agent,Told agent to make model run on gpu.,,,,,,,,,,Accuracy under the defense technique from Buckman et al. (2018) on the CIFAR dataset (Table 1 from the paper): 0%,0,n/a,✗ Fail,,36,"4. Agent made major error(s), requiring human redirection","2. Environment setup, 3. Downloading data, 4. Identifying main scripts, 9. Catching potential issues proactively (e.g., noticing a bug in the code before it caused a major error)","5. Identifying correct scripts needed for reproducing, 16. Making assumptions about the environment without checking, 17. Failure to follow instructions",,,,,,,,,,Agent ran code on cpu,Agent,Told agent to run code on GPU,Yes,Agent ran code on wrong dataset sample,Agent,Told agent to consult paper for dataset config.,Yes,Agent ran wrong code,Agent,Agent looked closer and noticed it was running wrong code and stopped.,No,,,,,,,,,,,,https://docent.transluce.org/dashboard/ae174ea5-4691-4221-8b06-5c55519d2494/agent_run/019dc0bc-ed19-74a1-ae3b-f5f54bd9a3cb,Succcess,,Succcess,Agent,Succcess,Succcess,Succcess,Succcess,Succcess,Succcess,Agent,Agent,Both,Agent,Agent,,,,,,,Succcess,,Succcess,Both,Succcess,,Agent,Succcess,,Agent,Succcess,,Agent,Both,N/A - no results produced,N/A - no results produced,,N/A - no results produced,N/A - no results produced,,N/A - no results produced,N/A - no results produced,
4/26/2026 0:34:40,indecent disclosures anticorruption reforms and political selection,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KDUMRM,I4R,C,,Docker instance with pre-installed libraries,4/25/2026,7:00:00 AM,8:30:00 AM,Manual,GPU: A40 48GB VRAM CPU: Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GH,Ubuntu 22.04,,,,,,,,,,,,,Treatment group × Second period election at -0.057 (0.015) in Table 1,-0.057 (0.015),-0.0568437(0.0150439),✓ Match,,73.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, https://docent.transluce.org/collection/dab7d828-fce2-43aa-97a6-edea3f8fc179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2026 2:38:41,changing tides public attitudes on climate migration,https://dataverse.harvard.edu/dataset.xhtml;jsessionid=e19065118cc12d43f1b412109d41?persistentId=doi%3A10.7910%2FDVN%2FFDML2N&version=&q=&fileAccess=&fileTag=&fileSortField=name&fileSortOrder=desc,I4R,C,gpt-5.4-codex with extra high thinking,Docker instance with pre-installed libraries,4/25/2026,9:00:00 AM,9:50:00 AM,AI-assisted,GPU: A40 48GB VRAM CPU: Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GH,Ubuntu 22.04,,,,,,,,,,,,,"Table 2, ""In the German sample, what is the AMCE for flooding as a reason for migration compared to economic opportunity?"": 0.086",0.086,0.08645650437,✓ Match,,29,1. Agent did all the work on its own,"1. Navigating readme and necessary associated files quickly to understand requirements, 2. Environment setup, 4. Identifying main scripts, 5. Running code, 9. Catching potential issues proactively (e.g., noticing a bug in the code before it caused a major error)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://docent.transluce.org/collection/dab7d828-fce2-43aa-97a6-edea3f8fc179,Succcess,,Succcess,Agent,Succcess,Succcess,Succcess,Succcess,Succcess,Succcess,Agent,Agent,Agent,Agent,Agent,,,,"The agent created an isolated R environment with mamba, then installed the paper-critical cjoint package by pinning the archived CRAN source version cjoint_2.1.0, choosing a release close to the paper’s time period when cjoint was unavailable via conda-forge.",,,Succcess,,Succcess,Agent,Succcess,,Agent,Succcess,,Agent,Succcess,,Agent,Agent,Agent,Succcess,,Agent,Succcess,,N/A - no results produced,N/A - no results produced,
4/26/2026 3:31:49,talking shops the effects of caucus discussion on policy coalitions,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/S3M5AX,I4R,D,,Docker instance with pre-installed libraries,4/25/2026,10:30:00 AM,11:04:00 AM,Manual,GPU: A40 48GB VRAM CPU: Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GH,Ubuntu 22.04,,,,,,,,,,,,,"Estimated Deliberation Effects on Cosponsorship (in pp) for the group with ""Attended meetings?"" = ""Yes"" and ""Sponsor’s party?"" = ""No"" (Table 4)",5.9,5.9,✓ Match,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://docent.transluce.org/dashboard/f8c8caac-c48e-4d00-aa23-fd9f8bdae589/agent_run/1019a826-159c-48f0-9ec2-9dcbab275dfc?transcript_id=4bb38e2d-2c8c-4044-9494-0dea7c615aab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2026 11:02:47,reliable conflictive multiview learning,https://github.com/jiajunsi/RCML,AI Conferences,D,gpt-5.4-codex with extra high thinking,Docker instance with pre-installed libraries,4/25/2026,6:02:00 PM,6:26:00 PM,AI-assisted,GPU: A40 48GB VRAM CPU: Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GH,Ubuntu 22.04,,,,,,,,,,,,,Conflictive test-set accuracy of the ECML model on the Scene15 dataset (from Table 3 in the paper),56.97 ± 0.52%,"- `sample_mean_accuracy_percent = 60.089999999999996` - `sample_std_accuracy_percent = 0.45000000000000284` - `95% prediction interval = [57.854276059424684, 62.32572394057531]`",✗ Fail,Results do not match within error tolerance,56,1. Agent did all the work on its own,"1. Navigating readme and necessary associated files quickly to understand requirements, 2. Environment setup, 3. Downloading data, 4. Identifying main scripts, 5. Running code, 6. Debugging errors from running code as is, 7. Making the most appropriate choice to adjust code to run correctly, 8. Identifying deprecated code/requirements and quickly finding fixes, 9. Catching potential issues proactively (e.g., noticing a bug in the code before it caused a major error), 10. Finding an alternative more efficient approach, 11. Interpreting intermediate results intelligently so that it could move on quickly to next steps, created wrapper (fixed the errors after built) under logs to record outputs, keeps main logic unchanged","3. Setting up environment as directed in readme or repository, forgetting ""tty"" (but is usually self-resolved)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://docent.transluce.org/dashboard/f8c8caac-c48e-4d00-aa23-fd9f8bdae589/agent_run/019dc750-4aaf-7721-8fe8-1ed68a154ab6,Succcess,,Succcess,Agent,Succcess,Succcess,Succcess,Succcess,Succcess,Succcess,Agent,Agent,Agent,Agent,Agent,,,,,,,Succcess,,Succcess,Agent,Succcess,,Agent,Succcess,,Agent,Succcess,,Agent,Agent,Agent,Succcess,,Agent,Succcess,,Agent,Succcess,
4/26/2026 11:41:04,policy deliberation and voter persuasion experimental evidence from an election in the philippines,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/S3HACJ,I4R,B,,Docker instance with pre-installed libraries,4/25/2026,4:00:00 PM,4:58:00 PM,Manual,GPU: A40 48GB VRAM CPU: Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GH,Ubuntu 22.04,,,,,,,,,,,,,ITT of the Vote (Akbayan) (from Table 1 in the paper): 1.955,1.955,1.955,✓ Match,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/S3HACJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2026 12:36:30,multiwoz a largescale multidomain wizardofoz dataset for taskoriented dialogue modelling,https://github.com/budzianowski/multiwoz,AI Conferences,A,gpt-5.4-codex with extra high thinking,Docker instance with pre-installed libraries,4/25/2026,5:18:00 PM,7:26:00 PM,AI-assisted,GPU: A40 48GB VRAM CPU: Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GH,Ubuntu 22.04,"The agent apparently encountered a transient issue while cloning the repo (or at least got confused about the status of this process in a background terminal): ""The repository files are present, but the checkout looks like it was interrupted mid-clone: `.git/index.lock` exists and `git status` shows tracked files as deleted plus untracked duplicates."" ",Agent,Agent (apparently) simply re-ran the clone command and it succeeded.,No,,,,,,,,,"Run preprocessing pipeline to reproduce # Dialogues in MultiWoz Training Split - 8,438 from Table 1","8,438",8423,✗ Fail,Results do not match within error tolerance,132,1. Agent did all the work on its own,"1. Navigating readme and necessary associated files quickly to understand requirements, 2. Environment setup, 3. Downloading data, 4. Identifying main scripts, 5. Running code, 6. Debugging errors from running code as is, 7. Making the most appropriate choice to adjust code to run correctly, 8. Identifying deprecated code/requirements and quickly finding fixes, 9. Catching potential issues proactively (e.g., noticing a bug in the code before it caused a major error), 10. Finding an alternative more efficient approach, 11. Interpreting intermediate results intelligently so that it could move on quickly to next steps",,"This particular reproduction went over the 45 minute compute time limit that was imposed as a criterion in the paper selection. I haven't investigated whether the agent could have chosen a more performant (e.g. multi-core) way to run the process. For the two additional runs required after the first result mismatch, it intelligently found a way to make them run in parallel so that they only required about the same time together as the first one alone. 

As described in more detail in the notes for 3.3, on human request the agent was also helpful in investigating the discrepancy of the reproduced result and narrow down the possible cause. (Since this task is not explicitly specified in our prompt, I still rate this run as ""Agent did all the work on its own"".)","""The first run failed before the code started because this container doesn’t have /usr/bin/time."" (according to the agent)",Agent,,,"""I’m rerunning the same preprocessing command without that wrapper.""",,No,,"According to the agent: ""nltk==3.9 imports wordnet at module import time in this environment, so the original script stops before  preprocessing begins.""",Agent,"According to the agent: ""I’ve hit the same nltk import bug twice now. One final environment-only fix is reasonable here: swap nltk to 3.8.1, which still provides the nltk.util.ngrams API this script uses but avoids the unrelated wordnet import-time failure on this Python 3.11 setup.""",No,,,,,,,,,,,,,,,,,,,,https://docent.transluce.org/collection/d1a06242-b68b-4597-89df-e845e2e1c058,Succcess,,Succcess,Agent,Succcess,Succcess,Succcess,Succcess,Succcess,Succcess,Agent,Agent,Agent,Agent,Agent,,,,,,,Succcess,,Succcess,Agent,Succcess,,Agent,Succcess,,Agent,Succcess,,Agent,Agent,Agent,Succcess,,Both,Succcess,,Both,Succcess,"Agent came up with a plausible-sounding explanation of the (slight) discrepancy, which seems to point to a (slight) discrepancy of the description of the corpus preprocessing process between the paper and the README. On request of the human, the agent also checked whether it could have been caused by updated to the repo since the publication of the paper (answer: unlikely)."
4/26/2026 16:34:09,reliable conflictive multiview learning,https://github.com/jiajunsi/RCML,AI Conferences,B,gpt-5.4-codex with extra high thinking,Docker instance with pre-installed libraries,4/25/2026,10:15:00 PM,12:20:00 AM,AI-assisted,GPU: A40 48GB VRAM CPU: Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GH,Ubuntu 22.04,,,,,,,,,,,,,Conflictive test-set accuracy of the ECML model on the Scene15 dataset (from Table 3 in the paper): 56.97 ± 0.52%,56.97,60.17,≈ Within tolerance interval,,126,1. Agent did all the work on its own,"2. Environment setup, 4. Identifying main scripts, 5. Running code",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,Succcess,,Succcess,Agent,Succcess,Succcess,Succcess,Succcess,Succcess,Succcess,Agent,Agent,Agent,Agent,Agent,,,,,,,Succcess,,Succcess,Agent,Succcess,,Agent,Succcess,,Agent,Succcess,,Agent,Agent,Agent,Succcess,,Agent,Succcess,,Agent,Succcess,
