capsule_id,rep_idx,n_questions,n_correct,n_correct_in_spirit,n_incorrect_in_spirit,n_no_answer,category
capsule-5507257,0,1,1,0,0,0,correct
capsule-3449234,0,1,1,0,0,0,correct
capsule-8807709,0,2,1,1,0,0,correct_in_spirit
capsule-6049678,0,2,1,0,1,0,incorrect_in_spirit
capsule-2804717,0,1,0,0,1,0,incorrect_in_spirit
capsule-3418007,0,2,0,0,0,2,no_answer
capsule-1624349,0,2,2,0,0,0,correct
capsule-9832712,0,2,1,0,1,0,incorrect_in_spirit
capsule-2816027,0,1,0,0,1,0,incorrect_in_spirit
capsule-3821950,0,2,0,0,0,2,no_answer
capsule-9054015,0,1,1,0,0,0,correct
capsule-3301293,0,1,0,0,0,1,no_answer
capsule-1724988,0,2,2,0,0,0,correct
capsule-4299879,0,1,0,0,0,1,no_answer
capsule-0851068,0,1,0,0,0,1,no_answer
capsule-1394704,0,2,2,0,0,0,correct
capsule-0504157,0,1,1,0,0,0,correct
capsule-3593259,0,1,1,0,0,0,correct
capsule-3639589,0,1,1,0,0,0,correct
capsule-2345790,0,2,2,0,0,0,correct
capsule-7716865,0,1,0,0,1,0,incorrect_in_spirit
capsule-4933686,0,2,1,0,1,0,incorrect_in_spirit
capsule-9240688,0,1,1,0,0,0,correct
capsule-1175539,0,1,1,0,0,0,correct
capsule-2708693,0,2,0,0,2,0,incorrect_in_spirit
capsule-4252248,0,1,0,0,0,1,no_answer
capsule-4671827,0,1,1,0,0,0,correct
capsule-7186268,0,2,0,0,2,0,incorrect_in_spirit
capsule-5136217,0,1,0,0,0,1,no_answer
capsule-7800694,0,2,0,0,2,0,incorrect_in_spirit
capsule-8412128,0,2,2,0,0,0,correct
capsule-7655932,0,2,2,0,0,0,correct
capsule-9294029,0,1,1,0,0,0,correct
capsule-6295990,0,2,2,0,0,0,correct
capsule-9477017,0,1,0,1,0,0,correct_in_spirit
capsule-0201673,0,3,3,0,0,0,correct
capsule-0152700,0,3,1,0,2,0,incorrect_in_spirit
capsule-2242462,0,2,0,1,1,0,incorrect_in_spirit
capsule-3762736,0,2,0,0,0,2,no_answer
capsule-5507257,1,1,1,0,0,0,correct
capsule-3449234,1,1,1,0,0,0,correct
capsule-8807709,1,2,0,0,0,2,no_answer
capsule-6049678,1,2,0,2,0,0,correct_in_spirit
capsule-2804717,1,1,0,0,1,0,incorrect_in_spirit
capsule-3418007,1,2,1,0,1,0,incorrect_in_spirit
capsule-1624349,1,2,0,0,0,2,no_answer
capsule-9832712,1,2,1,0,1,0,incorrect_in_spirit
capsule-2816027,1,1,0,0,1,0,incorrect_in_spirit
capsule-3821950,1,2,0,0,2,0,incorrect_in_spirit
